"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_CARS_5","C2021_CARS_5_NAME","C2021_CARS_5_CODE","C2021_CARS_5_TYPE","C2021_CARS_5_TYPECODE","C2021_CARS_5_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E02000001","City of London 001","E02000001","2021 super output areas - middle layer",152,0,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",77.2,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534209d1d20301",0,1002
"2021","2021","2021","date",0,0,"E02000002","Barking and Dagenham 001","E02000002","2021 super output areas - middle layer",152,1,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",31.8,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534210d1d20301",1,1002
"2021","2021","2021","date",0,0,"E02000003","Barking and Dagenham 002","E02000003","2021 super output areas - middle layer",152,2,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",29.4,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534211d1d20301",2,1002
"2021","2021","2021","date",0,0,"E02000004","Barking and Dagenham 003","E02000004","2021 super output areas - middle layer",152,3,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",23.6,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534212d1d20301",3,1002
"2021","2021","2021","date",0,0,"E02000005","Barking and Dagenham 004","E02000005","2021 super output areas - middle layer",152,4,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",28.0,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534213d1d20301",4,1002
"2021","2021","2021","date",0,0,"E02000007","Barking and Dagenham 006","E02000007","2021 super output areas - middle layer",152,5,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",37.4,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534214d1d20301",5,1002
"2021","2021","2021","date",0,0,"E02000008","Barking and Dagenham 007","E02000008","2021 super output areas - middle layer",152,6,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",32.6,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534215d1d20301",6,1002
"2021","2021","2021","date",0,0,"E02000009","Barking and Dagenham 008","E02000009","2021 super output areas - middle layer",152,7,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",34.2,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534216d1d20301",7,1002
"2021","2021","2021","date",0,0,"E02000010","Barking and Dagenham 009","E02000010","2021 super output areas - middle layer",152,8,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",33.4,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534217d1d20301",8,1002
"2021","2021","2021","date",0,0,"E02000011","Barking and Dagenham 010","E02000011","2021 super output areas - middle layer",152,9,"1","No cars or vans in household","_0","Number of cars or vans",1000000,0,"20301","Percent",29.9,"A","Normal Value","F","Free (free for publication)","Nm-2063d1d32336e0d637534218d1d20301",9,1002
